city,date,temp,humidity,rainfall,wind_speed,uv_index,sunrise,sunset,moonrise,moonset,moon_phase,illumination
Gia Lai,2024-05-25,25.5,0.2630475019505835,0.11736874718142161,-1.440814361261142,0.3440173643863852,5.333333333333333,18.183333333333334,19.966666666666665,6.4,1,1.3994582886107116
Dak Lak,2024-05-25,17.0,-3.05687764384896,-0.44772828534978376,1.4616343743711604,-1.11676141760505,5.15,19.366666666666667,21.633333333333333,6.1,1,1.3994582886107116
Dak Nong,2024-05-25,26.6,0.18207371790669225,1.5878457002541093,-0.7265992273620936,1.0744067553821028,5.4,18.15,19.933333333333334,6.5,1,1.3994582886107116
Lam Dong,2024-05-25,27.7,0.5059688540822574,-0.04796149917832731,-0.6202267606111715,0.3440173643863852,5.283333333333333,18.283333333333335,20.116666666666667,6.333333333333333,1,1.3994582886107116
Binh Phuoc,2024-05-25,30.9,-0.7896116906200035,-0.311265224862372,0.42830184021934586,1.0744067553821028,5.516666666666667,18.183333333333334,19.933333333333334,6.65,1,1.3994582886107116
Tay Ninh,2024-05-25,31.8,-1.2754543948833512,-0.3934929664381201,0.42830184021934586,1.0744067553821028,5.533333333333333,18.233333333333334,20.0,6.633333333333333,1,1.3994582886107116
Binh Duong,2024-05-25,27.4,0.6679164221700401,-0.22378890403710797,-0.012384093463045387,0.3440173643863852,5.25,18.2,20.016666666666666,6.3,1,1.3994582886107116
Dong Nai,2024-05-25,27.7,0.2630475019505835,-0.4092387041866677,-0.6202267606111715,0.3440173643863852,5.316666666666666,18.4,20.25,6.35,1,1.3994582886107116
Ba Ria - Vung Tau,2024-05-25,29.7,-0.06084763422498168,-0.13456305679533867,0.30673330678972105,0.3440173643863852,5.483333333333333,18.133333333333333,19.9,6.616666666666667,1,1.3994582886107116
Long An,2024-05-25,30.7,-0.8705854746638947,0.0036495301085784308,-0.012384093463045387,0.3440173643863852,5.583333333333333,18.266666666666666,20.016666666666666,6.716666666666667,1,1.3994582886107116
Tien Giang,2024-05-25,28.8,-0.14182141826887298,-0.14418545208611774,0.8537917072230343,0.3440173643863852,5.283333333333333,18.533333333333335,20.433333333333334,6.283333333333333,1,1.3994582886107116
Ben Tre,2024-05-25,30.0,-0.3847427704005469,-0.25353085311769774,-0.4530700271454369,1.0744067553821028,5.533333333333333,18.183333333333334,19.933333333333334,6.666666666666667,1,1.3994582886107116
Tra Vinh,2024-05-25,30.1,-0.3847427704005469,-0.07595392184241181,-0.34669756039451466,1.0744067553821028,5.55,18.183333333333334,19.933333333333334,6.683333333333334,1,1.3994582886107116
Vinh Long,2024-05-25,30.1,-0.4657165544444382,-0.2176655615793395,-0.4530700271454369,1.0744067553821028,5.566666666666666,18.216666666666665,19.966666666666665,6.683333333333334,1,1.3994582886107116
Dong Thap,2024-05-25,28.6,0.020126149818909627,0.5564998777242469,-0.012384093463045387,0.3440173643863852,5.316666666666666,18.616666666666667,20.533333333333335,6.316666666666666,1,1.3994582886107116
An Giang,2024-05-25,27.5,0.4249950700383662,-0.2176655615793395,0.30673330678972105,0.3440173643863852,5.233333333333333,18.116666666666667,19.916666666666668,6.316666666666666,1,1.3994582886107116
Kien Giang,2024-05-25,9.0,0.10109993386280093,-0.15993118983466525,-1.167285161044485,-2.5775401995964855,5.75,21.15,23.833333333333332,6.5,1,1.3994582886107116
Can Tho,2024-05-25,30.1,-0.4657165544444382,-0.2054188766638025,-0.7873834940769062,1.0744067553821028,5.583333333333333,18.216666666666665,19.966666666666665,6.716666666666667,1,1.3994582886107116
Hau Giang,2024-05-25,21.3,0.6679164221700401,-0.11269397658902268,0.09398837328787658,-0.38637202660933245,5.266666666666667,18.633333333333333,20.55,6.25,1,1.3994582886107116
Soc Trang,2024-05-25,30.7,-0.7896116906200035,-0.11969208225504381,-0.17954082692878004,0.3440173643863852,5.583333333333333,18.2,19.95,6.716666666666667,1,1.3994582886107116
Bac Lieu,2024-05-25,30.7,-0.7896116906200035,-0.11969208225504381,-0.17954082692878004,0.3440173643863852,5.6,18.2,19.95,6.75,1,1.3994582886107116
Ca Mau,2024-05-25,30.0,-0.3847427704005469,0.26782801900087566,-1.167285161044485,0.3440173643863852,5.65,18.233333333333334,19.983333333333334,6.783333333333333,1,1.3994582886107116
Hanoi,2024-05-26,26.9,0.5869426381261488,-0.461724496681826,-0.17954082692878004,-0.38637202660933245,5.266666666666667,18.533333333333335,21.383333333333333,7.216666666666667,1,1.3135447233953939
Ho Chi Minh City,2024-05-26,31.4,-1.0325330427516775,-0.054084841636095816,-0.012384093463045387,1.0744067553821028,5.5,18.183333333333334,20.916666666666668,7.6,1,1.3135447233953939
Da Nang,2024-05-26,27.5,0.4249950700383662,-0.35237909565024605,-1.0001284275787505,0.3440173643863852,5.35,18.433333333333334,21.25,7.366666666666666,1,1.3135447233953939
Hai Phong,2024-05-26,26.8,1.153759126433388,-0.06633152655163282,0.36751757350453346,-0.38637202660933245,5.216666666666667,18.466666666666665,21.316666666666666,7.166666666666667,1,1.3135447233953939
Can Tho,2024-05-26,30.4,-0.7086379065761121,-0.25877943236721357,-0.28591329367970225,1.0744067553821028,5.583333333333333,18.216666666666665,20.95,7.683333333333334,1,1.3135447233953939
Dien BienQuang Ninh,2024-05-26,28.7,-0.06084763422498168,-0.09519871242396988,0.8082035071869248,0.3440173643863852,5.283333333333333,18.066666666666666,20.8,7.35,1,1.3135447233953939
Binh Duong,2024-05-26,27.8,0.34402128599447485,-0.19404695495651822,-0.17954082692878004,0.3440173643863852,5.25,18.216666666666665,21.0,7.266666666666667,1,1.3135447233953939
Ha Giang,2024-05-26,20.8,0.7488902062139314,-0.3602519645245198,0.36751757350453346,-1.11676141760505,5.266666666666667,18.65,21.533333333333335,7.2,1,1.3135447233953939
Cao Bang,2024-05-26,25.8,0.7488902062139314,-0.25090656349293977,-0.17954082692878004,0.3440173643863852,5.183333333333334,18.55,21.433333333333334,7.116666666666666,1,1.3135447233953939
Lai Chau,2024-05-26,21.3,1.3966804785650617,-0.14418545208611774,-1.273657627795407,-0.38637202660933245,5.416666666666667,18.75,21.616666666666667,7.366666666666666,1,1.3135447233953939
Lao Cai,2024-05-26,24.5,0.9918115583456053,-0.20279458703904463,-1.7143435614777989,-0.38637202660933245,5.35,18.7,21.583333333333332,7.3,1,1.3135447233953939
Tuyen Quang,2024-05-26,26.5,0.8298639902578226,-0.4582254438488155,-0.6658149606472812,-0.38637202660933245,5.283333333333333,18.6,21.466666666666665,7.233333333333333,1,1.3135447233953939
Lang Son,2024-05-26,24.6,1.0727853423894966,-0.33488383148519324,0.30673330678972105,-0.38637202660933245,5.183333333333334,18.5,21.366666666666667,7.133333333333334,1,1.3135447233953939
Bac Kan,2024-05-26,24.4,1.153759126433388,-0.277149459740519,-1.2128733610805946,-0.38637202660933245,5.233333333333333,18.566666666666666,21.433333333333334,7.183333333333334,1,1.3135447233953939
Thai Nguyen,2024-05-26,25.7,1.153759126433388,-0.40136583531239384,-0.9393441608639378,-0.38637202660933245,5.25,18.55,21.416666666666668,7.2,1,1.3135447233953939
Yen Bai,2024-05-26,26.5,0.8298639902578226,-0.4582254438488155,-0.6658149606472812,-0.38637202660933245,5.3,18.616666666666667,21.483333333333334,7.266666666666667,1,1.3135447233953939
Son La,2024-05-26,21.3,1.8015493987845184,-0.06808105296813807,-1.759931761513908,-1.11676141760505,5.383333333333334,18.666666666666668,21.533333333333335,7.35,1,1.3135447233953939
